time,current_response_time_percentile_50,current_response_time_percentile_95,current_response_time_average,current_max_response_time,current_min_response_time,current_fail_per_sec,fail_ratio,total_rps,user_count,avg_response_time,current_rps,max_response_time,median_response_time,min_response_time,num_failures,num_requests,custom_cpu_redis-cart,custom_monitored_count_redis-cart,custom_kubernetes_redis-cart_ordered,custom_kubernetes_redis-cart_ready,elapsed,elapsed_min
1619153848.076999,70.0,250.0,95,1100,14,0.0,0.08196804721685153,107.8,500,1542.2778011777937,107.8,8598.0,1400.0,10.0,3222,39308,5.860542836421534,1,1,1,388.16895294189453,6.469482549031576
1619153850.0823264,70.0,250.0,95,1100,14,0.0,0.08196804721685153,107.8,500,1542.2778011777937,107.8,8598.0,1400.0,10.0,3222,39308,5.860542836421534,1,1,1,390.17428040504456,6.502904673417409
1619153852.0379941,57.0,190.0,80,1700,15,0.0,0.08117095782737946,107.8,500,1527.9396212197423,107.8,8598.0,1400.0,10.0,3222,39694,5.860542836421534,1,1,1,392.1299481391907,6.535499135653178
1619153854.0353303,66.0,770.0,170,1700,15,0.0,0.08076604918156068,106.1,500,1523.0246866970497,106.1,8598.0,1300.0,10.0,3222,39893,5.860542836421534,1,1,1,394.1272842884064,6.568788071473439
1619153856.0466032,66.0,770.0,170,1700,15,0.0,0.08076604918156068,106.1,500,1523.0246866970497,106.1,8598.0,1300.0,10.0,3222,39893,5.860542836421534,1,1,1,396.13855719566345,6.602309286594391
1619153857.969197,280.0,1200.0,375,1800,15,0.0,0.07991864272249231,99.9,500,1512.9812930247494,99.9,8598.0,1300.0,10.0,3222,40316,5.860542836421534,1,1,1,398.06115102767944,6.634352517127991
1619153860.070382,280.0,1200.0,375,1800,15,0.0,0.07991864272249231,99.9,500,1512.9812930247494,99.9,8598.0,1300.0,10.0,3222,40316,6.2249753637973715,1,1,1,400.1623361110687,6.6693722685178125
1619153862.0577197,280.0,1200.0,381,1800,15,0.0,0.0790907751976042,101.8,500,1498.4947996182439,101.8,8598.0,1300.0,10.0,3222,40738,6.2249753637973715,1,1,1,402.14967370033264,6.702494561672211
1619153864.0483844,280.0,1200.0,381,1800,15,0.0,0.0790907751976042,101.8,500,1498.4947996182439,101.8,8598.0,1300.0,10.0,3222,40738,6.2249753637973715,1,1,1,404.1403384208679,6.7356723070144655
1619153866.0420294,88.0,1100.0,218,1800,13,0.0,0.07831413154440718,107.7,500,1484.6561497576397,107.7,8598.0,1300.0,10.0,3222,41142,6.2249753637973715,1,1,1,406.13398337364197,6.768899722894033
1619153868.4892836,88.0,1100.0,218,1800,13,0.0,0.07831413154440718,107.7,500,1484.6561497576397,107.7,8598.0,1300.0,10.0,3222,41142,6.2249753637973715,1,1,1,408.58123755455017,6.809687292575836
1619153870.0643394,72.0,250.0,95,400,13,0.0,0.0774873139174142,111.3,500,1470.1805724163798,111.3,8598.0,1300.0,10.0,3222,41581,6.2249753637973715,1,1,1,410.1562933921814,6.835938223203024
1619153872.103692,72.0,250.0,95,400,13,0.0,0.0774873139174142,111.3,500,1470.1805724163798,111.3,8598.0,1300.0,10.0,3222,41581,6.2249753637973715,1,1,1,412.19564604759216,6.869927434126536
1619153874.0320075,85.0,280.0,113,460,13,0.0,0.0767416934619507,101.6,500,1457.1781202912289,101.6,8598.0,1200.0,10.0,3222,41985,6.2249753637973715,1,1,1,414.12396144866943,6.90206602414449
1619153876.1362,85.0,280.0,113,460,13,0.0,0.0767416934619507,101.6,500,1457.1781202912289,101.6,8598.0,1200.0,10.0,3222,41985,6.2249753637973715,1,1,1,416.2281539440155,6.937135899066925
1619153878.0220652,130.0,420.0,166,950,13,0.0,0.07604796072507553,106.0,500,1446.2024666864825,106.0,8598.0,1200.0,10.0,3222,42368,6.2249753637973715,1,1,1,418.1140191555023,6.9685669859250385
1619153879.9910085,130.0,420.0,166,950,13,0.0,0.07604796072507553,106.0,500,1446.2024666864825,106.0,8598.0,1200.0,10.0,3222,42368,7.200539602251345,1,1,1,420.08296251296997,7.0013827085494995
1619153882.0441787,190.0,780.0,264,1400,13,0.0,0.07556639617242834,106.8,100,1439.634384410242,106.8,8598.0,1200.0,10.0,3222,42638,7.200539602251345,1,1,1,422.13613271713257,7.0356022119522095
1619153884.038215,190.0,780.0,264,1400,13,0.0,0.07556639617242834,106.8,100,1439.634384410242,106.8,8598.0,1200.0,10.0,3222,42638,7.200539602251345,1,1,1,424.1301689147949,7.068836148579916
1619153886.0088487,250.0,850.0,322,1400,18,0.0,0.07542311383693438,75.2,100,1437.0262514499937,75.2,8598.0,1200.0,10.0,3222,42719,7.200539602251345,1,1,1,426.1008026599884,7.10168004433314
1619153887.9393933,250.0,850.0,322,1400,18,0.0,0.07542311383693438,75.2,100,1437.0262514499937,75.2,8598.0,1200.0,10.0,3222,42719,7.200539602251345,1,1,1,428.0313472747803,7.133855787913005
